restaurant_id,restaurant_name,city,locality,restaurant_type,cuisines,distance_from_city_center_km,opening_time,closing_time,days_operational,swiggy_rating,swiggy_total_reviews,zomato_rating,zomato_total_reviews,average_rating_both_platforms,avg_cost_per_person_inr,price_category,swiggy_delivery_fee_inr,zomato_delivery_fee_inr,swiggy_avg_delivery_time_minutes,zomato_avg_delivery_time_minutes,swiggy_platform_commission_pct,zomato_platform_commission_pct,swiggy_discount_frequency_pct,zomato_discount_frequency_pct,swiggy_estimated_monthly_orders,zomato_estimated_monthly_orders,swiggy_estimated_monthly_revenue_inr,zomato_estimated_monthly_revenue_inr,swiggy_estimated_net_profit_inr,zomato_estimated_net_profit_inr,swiggy_market_share_pct,zomato_market_share_pct,platform_performance_better,amenities,amenities_count,has_own_website,has_own_app,food_license_verified,listing_date,days_listed
REST000034,Restaurant_34,Mumbai,Mumbai_Locality_15,Cloud Kitchen,Italian; Italian,2.9,07:00,22:00,1256,3.9,2946,4.1,3080,4.0,1032,Premium,34,34,34,35,27.0,23.0,6,22,274,288,206420,228856,201762,223960,66.0,34.0,Zomato Better,Dessert Bar; Live Music; Family Friendly; Vegan Options; Outdoor Seating; Private Room; Rooftop,7,False,False,True,2023-06-05,1075
REST000035,Restaurant_35,Mumbai,Mumbai_Locality_3,Cloud Kitchen,Seafood; Fast Food,6.9,11:00,23:00,1445,3.7,2058,3.7,3752,3.7,768,Premium,54,54,40,43,23.0,25.0,14,9,265,265,156710,152640,149555,145485,65.0,35.0,Swiggy Better,WiFi; Dine-in; Dessert Bar; AC; Smoking Area; Private Room; Vegan Options; Family Friendly,8,False,True,False,2019-06-25,2516
REST000036,Restaurant_36,Mumbai,Mumbai_Locality_9,Casual Dining,Lebanese,10.3,12:00,22:00,2982,3.4,332,3.4,2540,3.4,1052,Premium,71,71,50,46,22.0,19.0,11,7,215,215,176420,183205,168787,175573,42.0,58.0,Zomato Better,Outdoor Seating; Rooftop; Alcohol; Parking,4,False,True,False,2023-05-29,1082
REST000037,Restaurant_37,Mumbai,Mumbai_Locality_3,QSR (Quick Service),Mughlai; Street Food,2.5,12:00,23:00,954,4.7,3006,3.9,749,4.3,958,Premium,32,32,36,30,21.0,21.0,38,11,239,198,180879,149850,177055,146682,54.0,46.0,Swiggy Better,Parking; Takeaway; Dessert Bar; Live Music; Family Friendly; Dine-in; Alcohol; Smoking Area,8,True,True,False,2019-03-01,2632
REST000038,Restaurant_38,Mumbai,Mumbai_Locality_5,Cafe,Seafood; Italian,1.2,09:00,23:00,182,4.2,4413,4.2,1121,4.2,945,Premium,30,30,20,29,23.0,20.0,14,23,154,154,112058,116424,109748,114114,60.0,40.0,Zomato Better,Takeaway; Private Room; Family Friendly; Vegan Options; AC; WiFi; Dine-in; Parking,8,True,False,True,2021-04-20,1851
REST000039,Restaurant_39,Mumbai,Mumbai_Locality_18,QSR (Quick Service),Italian; Pan-Asian,13.6,09:00,22:00,2671,3.8,1010,4.2,3735,4.0,337,Mid-Range,88,88,48,46,17.0,22.0,8,14,233,258,65172,67817,54920,56465,57.0,43.0,Zomato Better,Live Music; Takeaway; Rooftop; Alcohol; Smoking Area; Vegan Options; Dessert Bar,7,True,False,True,2017-08-09,3201
REST000040,Restaurant_40,Mumbai,Mumbai_Locality_5,Food Truck,North Indian,14.8,09:00,22:00,2242,4.6,1089,4.5,131,4.55,883,Premium,94,94,55,51,18.0,17.0,33,13,144,141,104264,103337,97496,96710,51.0,49.0,Swiggy Better,Bar; Takeaway; Family Friendly,3,False,False,True,2020-07-13,2132
REST000041,Restaurant_41,Mumbai,Mumbai_Locality_20,Cloud Kitchen,Thai,1.1,12:00,23:00,3238,3.0,508,4.3,3933,3.65,972,Premium,30,30,25,28,25.0,27.0,10,14,259,372,188811,263956,184926,258376,69.0,31.0,Zomato Better,Outdoor Seating; WiFi; Vegan Options,3,False,False,False,2019-08-04,2476
REST000042,Restaurant_42,Mumbai,Mumbai_Locality_4,Cloud Kitchen,Thai; Italian,12.9,11:00,22:00,2696,3.2,3399,4.4,2786,3.8,1078,Premium,84,84,44,55,24.0,24.0,7,25,262,361,214651,295760,203647,280598,61.0,39.0,Zomato Better,Takeaway; Private Room; Smoking Area,3,True,False,False,2025-03-16,425
REST000043,Restaurant_43,Mumbai,Mumbai_Locality_18,Casual Dining,Japanese,8.6,07:00,23:00,2774,3.6,3474,4.5,431,4.05,739,Premium,63,63,38,39,18.0,21.0,8,13,223,279,135133,162882,128109,154094,49.0,51.0,Zomato Better,Private Room; Alcohol; Parking; Takeaway; WiFi,5,True,False,True,2016-10-23,3491
REST000044,Restaurant_44,Mumbai,Mumbai_Locality_1,Food Truck,Biryani; Desserts,3.1,09:00,23:00,2908,3.8,1183,4.2,4649,4.0,1496,Luxury,35,35,28,32,17.0,21.0,8,22,127,140,157693,165457,155470,163007,58.0,42.0,Zomato Better,Family Friendly; Parking; Outdoor Seating; Private Room; WiFi; Bar,6,True,True,True,2024-07-17,667
REST000045,Restaurant_45,Mumbai,Mumbai_Locality_15,Food Truck,South Indian; Desserts,10.1,11:00,23:00,2019,3.8,4207,4.1,942,3.95,856,Premium,70,70,41,46,20.0,21.0,5,17,116,125,79436,84530,75376,80155,59.0,41.0,Zomato Better,Vegan Options; Dine-in; Private Room; Live Music; WiFi; Bar,6,True,False,False,2023-01-16,1215
REST000046,Restaurant_46,Mumbai,Mumbai_Locality_14,Fine Dine,North Indian,3.0,11:00,22:00,1587,3.2,2911,4.0,600,3.6,963,Premium,35,35,31,29,18.0,17.0,14,23,116,146,91600,116696,89570,114141,40.0,60.0,Zomato Better,AC; Bar; Dessert Bar; Smoking Area; WiFi; Takeaway; Private Room,7,True,False,False,2024-05-12,733
REST000047,Restaurant_47,Mumbai,Mumbai_Locality_4,Cafe,Pan-Asian,4.0,10:00,22:00,2442,3.7,2791,4.2,1825,3.95,832,Premium,40,40,33,31,20.0,18.0,10,21,177,201,117811,137130,114271,133110,58.0,42.0,Zomato Better,Private Room; Dessert Bar; Outdoor Seating; Live Music; Takeaway; Rooftop; WiFi; Bar,8,True,True,True,2017-10-06,3143
REST000048,Restaurant_48,Mumbai,Mumbai_Locality_19,Casual Dining,Lebanese,11.5,12:00,23:00,1868,4.4,1246,3.6,3612,4.0,289,Budget,77,77,41,49,21.0,19.0,12,9,248,203,56620,47520,47072,39704,52.0,48.0,Swiggy Better,Family Friendly; Dine-in; Private Room; Parking; WiFi; Takeaway,6,True,False,True,2021-02-05,1925
REST000049,Restaurant_49,Mumbai,Mumbai_Locality_20,Cloud Kitchen,Korean; Mughlai,7.4,07:00,23:00,647,4.7,2823,4.5,700,4.6,1183,Premium,57,57,38,38,28.0,25.0,39,25,306,293,260638,259964,251917,251613,69.0,31.0,Swiggy Better,Parking; WiFi; AC; Rooftop; Smoking Area,5,True,False,False,2025-07-20,299
REST000050,Restaurant_50,Mumbai,Mumbai_Locality_9,Fine Dine,Japanese; Seafood,11.0,11:00,22:00,2719,3.7,1168,4.5,2875,4.1,785,Premium,75,75,54,45,16.0,18.0,9,37,152,185,100228,119084,94528,112147,46.0,54.0,Zomato Better,Dessert Bar; Rooftop; Parking; Outdoor Seating; Smoking Area; Alcohol,6,True,False,False,2020-08-02,2112
REST000051,Restaurant_51,Mumbai,Mumbai_Locality_7,Fine Dine,Pan-Asian,5.5,10:00,22:00,3168,4.0,642,4.2,2433,4.1,357,Mid-Range,47,47,29,35,15.0,16.0,14,22,172,180,52193,53978,48151,49748,51.0,49.0,Zomato Better,Outdoor Seating; Smoking Area; Bar; Vegan Options,4,True,False,False,2025-10-19,208
REST000052,Restaurant_52,Mumbai,Mumbai_Locality_20,QSR (Quick Service),Biryani; Street Food,4.6,10:00,22:00,3096,3.7,3852,3.9,1599,3.8,903,Premium,42,42,31,28,22.0,22.0,13,13,237,249,166928,175380,161951,170151,54.0,46.0,Zomato Better,Outdoor Seating; Private Room; Live Music; Vegan Options; Smoking Area; WiFi,6,True,False,False,2016-06-26,3610
REST000053,Restaurant_53,Mumbai,Mumbai_Locality_4,Food Truck,Italian; Thai,4.6,08:00,23:00,3155,3.5,3593,4.2,761,3.85,604,Mid-Range,42,42,38,24,19.0,19.0,10,17,120,144,58708,70450,56188,67426,64.0,36.0,Zomato Better,Takeaway; Parking; Live Music; Dine-in; Private Room; Smoking Area,6,False,True,True,2024-09-29,593
REST000054,Restaurant_54,Mumbai,Mumbai_Locality_16,QSR (Quick Service),Multi-Cuisine; Continental,7.0,07:00,22:00,51,4.0,4505,4.8,4997,4.4,1230,Luxury,55,55,31,43,18.0,18.0,24,22,181,217,182556,218866,177579,212898,50.0,50.0,Zomato Better,Private Room; Family Friendly; Vegan Options,3,True,True,True,2018-03-25,2973
REST000055,Restaurant_55,Mumbai,Mumbai_Locality_12,QSR (Quick Service),Mexican,4.0,08:00,22:00,1736,3.6,4319,3.9,4467,3.75,1189,Premium,40,40,34,27,22.0,17.0,11,10,200,217,185484,214150,181484,209810,45.0,55.0,Zomato Better,Bar; Dine-in; Parking; Takeaway; Rooftop,5,True,True,False,2017-08-20,3190
REST000056,Restaurant_56,Mumbai,Mumbai_Locality_11,Casual Dining,South Indian,12.3,12:00,23:00,747,4.5,1503,3.9,1114,4.2,279,Budget,81,81,47,37,18.0,22.0,21,10,223,193,51017,42000,41986,34184,41.0,59.0,Swiggy Better,Alcohol; AC; Smoking Area; Family Friendly; WiFi,5,True,True,False,2023-01-30,1201
REST000057,Restaurant_57,Mumbai,Mumbai_Locality_4,Fine Dine,Lebanese,12.1,10:00,23:00,1819,4.3,1540,3.8,4074,4.05,1168,Premium,80,80,43,55,12.0,15.0,23,14,161,142,165482,140977,159042,135297,44.0,56.0,Swiggy Better,Alcohol; WiFi; Parking; Takeaway,4,True,False,False,2018-11-16,2737
REST000058,Restaurant_58,Mumbai,Mumbai_Locality_6,QSR (Quick Service),Street Food; Mexican,10.5,10:00,22:00,1469,3.9,3573,3.1,2259,3.5,1459,Luxury,72,72,58,44,21.0,19.0,15,7,210,167,242048,197358,234488,191346,47.0,53.0,Swiggy Better,Outdoor Seating; Private Room; Vegan Options,3,False,True,True,2024-11-14,547
REST000059,Restaurant_59,Mumbai,Mumbai_Locality_13,Casual Dining,Lebanese,14.3,11:00,22:00,162,3.6,3057,3.1,3646,3.35,307,Mid-Range,91,91,48,50,21.0,18.0,6,5,165,142,40017,35747,32509,29286,46.0,54.0,Swiggy Better,Outdoor Seating; Family Friendly; Alcohol; AC; Rooftop; Takeaway; WiFi; Dessert Bar,8,False,True,False,2019-06-05,2536
REST000060,Restaurant_60,Mumbai,Mumbai_Locality_5,Cafe,Multi-Cuisine,12.9,08:00,23:00,1881,4.7,2628,4.0,2856,4.35,282,Budget,84,84,46,49,18.0,21.0,40,15,212,181,49022,40323,40118,32721,51.0,49.0,Swiggy Better,Alcohol; Live Music; Takeaway; Private Room; Outdoor Seating,5,True,False,False,2025-12-29,137
REST000061,Restaurant_61,Mumbai,Mumbai_Locality_18,Food Truck,Korean,2.4,07:00,23:00,383,3.5,3931,4.4,4316,3.95,991,Premium,31,31,30,20,23.0,21.0,12,24,88,111,67150,86900,65786,85180,46.0,54.0,Zomato Better,Alcohol; Parking; Outdoor Seating; Smoking Area; Dessert Bar; Vegan Options; Rooftop; Bar,8,False,True,True,2016-12-18,3435
REST000062,Restaurant_62,Mumbai,Mumbai_Locality_6,Food Truck,Continental,5.2,08:00,23:00,2935,4.5,2336,3.8,656,4.15,663,Mid-Range,46,46,39,47,21.0,21.0,22,13,151,127,79089,66518,75616,63597,50.0,50.0,Swiggy Better,Outdoor Seating; Vegan Options; Private Room; Smoking Area; Bar; Rooftop; Parking; Dine-in,8,True,True,False,2025-10-11,216
REST000063,Restaurant_63,Mumbai,Mumbai_Locality_20,Cafe,Bakery; Mexican,9.8,12:00,23:00,2069,3.8,2016,3.7,3336,3.75,759,Premium,69,69,37,46,19.0,20.0,10,14,175,170,107588,103224,101550,97359,48.0,52.0,Swiggy Better,Parking; Private Room; Bar; Smoking Area,4,False,False,False,2024-10-27,565
REST000064,Restaurant_64,Mumbai,Mumbai_Locality_8,Food Truck,Japanese,7.3,10:00,22:00,1125,4.1,3156,4.1,3435,4.1,658,Mid-Range,56,56,50,37,23.0,21.0,16,15,113,113,57252,58739,54088,55575,61.0,39.0,Zomato Better,Alcohol; Family Friendly; Private Room; WiFi; Rooftop; Dine-in,6,True,False,False,2020-08-14,2100
REST000065,Restaurant_65,Mumbai,Mumbai_Locality_2,Casual Dining,Bakery,1.2,11:00,23:00,2057,4.0,890,4.0,3540,4.0,424,Mid-Range,30,30,33,21,19.0,19.0,16,21,230,230,78991,78991,75541,75541,51.0,49.0,Balanced,WiFi; Takeaway; AC; Alcohol; Family Friendly; Bar; Smoking Area,7,True,True,False,2025-03-15,426
REST000066,Restaurant_66,Mumbai,Mumbai_Locality_12,QSR (Quick Service),Mughlai,11.4,11:00,23:00,845,3.9,1132,4.0,2738,3.95,1120,Premium,77,77,44,47,18.0,23.0,10,15,195,200,179088,172480,171580,164780,63.0,37.0,Swiggy Better,Vegan Options; Bar; WiFi; Smoking Area; Parking; Alcohol,6,False,False,True,2020-12-17,1975
REST000067,Restaurant_67,Mumbai,Mumbai_Locality_19,QSR (Quick Service),Mughlai; Mexican,5.0,12:00,22:00,3000,3.7,4748,3.8,4741,3.75,616,Mid-Range,45,45,33,28,21.0,21.0,11,7,234,241,113873,117280,108608,111857,48.0,52.0,Zomato Better,Live Music; Dine-in; Vegan Options; Bar; Takeaway; Smoking Area; Private Room; Family Friendly,8,False,False,False,2024-08-03,650
REST000068,Restaurant_68,Mumbai,Mumbai_Locality_20,Cafe,Bakery,13.8,12:00,22:00,3605,3.9,4604,3.5,2672,3.7,1129,Premium,89,89,48,51,22.0,19.0,10,15,209,188,184049,171924,174749,163558,48.0,52.0,Swiggy Better,Dessert Bar; Smoking Area; Rooftop; Bar; WiFi; Vegan Options; Family Friendly; Live Music,8,True,False,False,2020-01-12,2315
REST000069,Restaurant_69,Mumbai,Mumbai_Locality_16,Casual Dining,Seafood; Bakery,5.1,11:00,23:00,1458,3.9,4459,4.5,3120,4.2,958,Premium,45,45,40,23,19.0,19.0,6,31,210,242,162955,187787,158230,182342,52.0,48.0,Zomato Better,Dessert Bar; WiFi; Bar; Family Friendly; Live Music; Smoking Area,6,False,False,True,2024-09-30,592
